Position	C10_Mut_Control_3	C11_WT_Cipro_3	C12_Mut_Cipro_3	C17_WT_Control_4	C18_Mut_Control_4	C19_WT_Cipro_4	C01_WT_Control_1	C20_Mut_Cipro_4	C21_WT_Control_5	C22_Mut_Control_5	C23_WT_Cipro_5	C24_Mut_Cipro_5	C02_Mut_Control_1	C03_WT_Cipro_1	C04_Mut_Cipro_1	C05_WT_Control_2	C06_Mut_Control_2	C07_WT_Cipro_2	C08_Mut_Cipro_2	C09_WT_Control_3
2250	1550.96	3511.76	3323.39	1259.3	1396.07	3054.99	1448.34	2441.83	1210.48	1468.5	3012.04	1966.1	1366.61	2581.77	2980.24	1618.27	1465.48	3603.4	3030.69	1189.11
2350	1575.19	3524.22	3328.61	1277.77	1352.61	2985.22	1453.22	2469.53	1246.76	1481.68	3073.79	1997.01	1351.19	2644.15	3012.1	1640.34	1466.94	3617.87	3124.43	1203.2
2450	1587.7	3534.77	3380.82	1265	1382.99	3049.26	1433.88	2474.17	1219.28	1535.14	3066.32	1967.34	1337.98	2618.22	3023.14	1658.56	1473.63	3546.49	3088.57	1218.38
2550	1534.2	3323.7	3240.66	1246.67	1371.88	2947.6	1373.59	2297.78	1152.73	1477.81	2854.42	1910.95	1299.03	2535.92	2909.65	1596.69	1443.67	3409.74	2934.35	1236.33
2650	1502.23	3260.97	3120.33	1238.5	1284.58	2905.46	1391.24	2282.87	1159.87	1459.57	2803.25	1768.01	1232.66	2508.92	2885.07	1559.84	1455.47	3182.17	2862.65	1210.35
2750	1512.22	3302.82	3089.91	1276.41	1293.21	2991.28	1394.26	2368.86	1254.33	1454.33	2922.94	1818.72	1346.61	2606.59	2916.07	1584.63	1540.16	3286.71	2934.46	1203.44
2850	1480.82	3236.85	3010.6	1247.99	1227.77	2904.38	1381.08	2287.68	1267.58	1379.1	2841.61	1769.8	1308.21	2604.56	2867.09	1544.15	1516.06	3289.8	2810.31	1164.71
2950	1523.68	3346.34	3035.36	1289.94	1325.67	2905.58	1435.25	2334.82	1324.56	1413.83	2937.39	1883.85	1323.83	2592.49	2803.78	1583.78	1511.57	3257.71	2908.1	1230.8
3050	1526.43	3314.34	2974.61	1314.96	1339.11	2812.74	1417.69	2295.2	1278.72	1417	2813.25	1789.44	1344.82	2538.25	2721.23	1565.17	1510.78	3204.29	2843.88	1250.1
3150	1604.49	3299.47	3056.44	1334.74	1372.87	2907.57	1441.64	2242.71	1349.53	1518.22	2769	1769.93	1382.76	2574.05	2859.94	1652.11	1532.4	3248.26	2805.8	1285.44
3250	1575.59	3212.25	3059.56	1328.58	1387.01	2895.73	1456.62	2152.99	1294.14	1520.89	2679.66	1757.86	1390.79	2519.86	2786.01	1674.64	1540.98	3206.13	2770.32	1262.85
3350	1587.1	3109.21	3025.47	1289.03	1340.27	2726.44	1385.47	2160.28	1198.13	1518.69	2608.67	1738.35	1346.67	2427.32	2725.32	1667.54	1484.1	3153.73	2800.53	1248.28
3450	1598.05	3198.84	3027.81	1282.45	1338.14	2755.01	1385.79	2204.74	1223.79	1520.94	2642.2	1754.38	1287.33	2419.7	2760.81	1629.08	1494.55	3104.18	2809.96	1201.57
3550	1518.99	3158.68	2964.64	1267.25	1331.05	2860.22	1407.05	2145.09	1240.32	1452.87	2646.12	1740.05	1255.87	2469.56	2786.78	1596.27	1513.29	3045.52	2775.34	1237.32
3650	1459.03	3069.27	2997.82	1217.29	1338.34	2807.65	1378.63	2108.56	1218.56	1478.67	2593.4	1789.58	1241.83	2375.92	2740.21	1642.97	1482.68	3062.54	2778.77	1198.13
3750	1453.92	3018.81	2899.62	1193.72	1335.01	2682.88	1322.32	2109.33	1240.21	1395.79	2536.85	1741.08	1237.42	2323.16	2621.36	1571.77	1401.83	2993.21	2658.47	1180.17
3850	1466.91	2922.34	2825.95	1194.89	1298.5	2565.27	1325.38	2017.06	1175.97	1326.47	2400.11	1651.32	1184.26	2134.53	2464.19	1531.04	1351.11	2827.22	2528.8	1150.22
3950	1409.64	2891.81	2635.85	1207.21	1255.9	2435.56	1300.45	1822.58	1111.35	1340.66	2145.52	1441.27	1198.51	2021.73	2295.69	1506	1338.57	2589.29	2344.89	1122.66
4050	1346.12	2723.05	2464.68	1183.65	1211.65	2275.7	1287.62	1512.08	1097.68	1290.91	1889.32	1172.15	1111.44	1952.29	1947.09	1465.75	1315.32	2324.13	2050.61	1146.44
4150	1242.28	2434.47	2164.13	1092.01	1131.93	1949.02	1296.4	1236.81	1097.03	1224.65	1563.05	884.38	1081.74	1766.78	1640.42	1468.51	1260.61	2069.48	1768.37	1089.26
4250	1222.67	2313.68	2064.31	1051.68	1118.64	1822.65	1247.03	1153.24	1044.59	1210.64	1428.42	800.22	1075.74	1633.45	1565.12	1386.59	1230.69	2001.8	1634.68	1041.09
4350	1228.97	2340.55	2085.36	1087.09	1191.33	1831.35	1293.92	1174.6	1021.11	1195.18	1541.91	760.2	1067.47	1667.78	1589.64	1351.86	1286.15	1988.28	1721.53	1042.64
4450	1265.23	2400.36	2264.82	1131.27	1264.97	1923.21	1321.48	1204.07	1103.71	1289.52	1494.72	725.36	1098.09	1751.04	1683.37	1452.22	1331.11	2101.78	1775.81	1091.09
4550	1325.51	2398.54	2246.08	1117.27	1243.61	1967.11	1279.94	1170.66	1093.18	1337.29	1479.76	733.42	1079.12	1689.88	1675.88	1413.08	1244.56	2120.68	1772.55	1107.7
4650	1334.59	2401.4	2094.5	1124.28	1180.58	1816.47	1209.75	1188.49	1060.1	1329.68	1483.49	703.26	1084.81	1682.49	1598.67	1391.62	1269.66	2016.15	1617.67	1149.32
4750	1325.71	2460.89	2107.8	1160.69	1197.2	1794.41	1206.93	1178.95	1147.01	1331.95	1446	741.04	1150.44	1635.45	1586.59	1445.57	1322.26	2013.02	1552.13	1148.8
4850	1296.87	2359.68	2005.72	1171.78	1146.06	1704.04	1192.57	1058.52	1065.19	1223.43	1336.75	692.92	1139.65	1573.88	1434.82	1390.68	1253.23	1908.33	1502.22	1071.6
4950	1336.92	2381.03	2006.73	1138.89	1165.29	1761.32	1232.6	1048.28	1086.18	1238.43	1321.71	656.33	1153.62	1560.96	1365.21	1427.32	1269.7	1869.69	1542.49	1061.05
5050	1232.56	2259.47	1910.12	1109.87	1127.42	1592.6	1229.82	916.94	989.53	1143.52	1275.2	641.35	1146.26	1457.06	1257.67	1407.78	1248.97	1751.73	1497.42	1105.14
5150	1161.99	2030.96	1836.76	1042.02	1046.27	1418.03	1151.08	860.22	921.33	1072.56	1195.44	595.92	1041.37	1445.06	1210.31	1271.91	1115.52	1709.47	1442.55	1085.95
5250	1188.14	2085.09	1838.11	985.56	1067.04	1423.16	1187.61	858.53	1005.27	1145.67	1168.07	577.98	1059.57	1425.89	1184.18	1256.98	1110.36	1685.64	1436.24	1067.28
5350	1209.05	2145.66	1791	1044.66	1137.25	1477.3	1182.92	856.76	1060.47	1169.34	1152.74	518.83	1025.71	1453.08	1221.23	1337.93	1141.5	1723.02	1432.02	1073.24
5450	1243.26	2180.95	1796.26	1062.88	1097.27	1463.31	1228.3	827.2	1063.23	1171.66	1132.88	539.59	1021.25	1439.61	1239.26	1370.48	1177.24	1661.88	1413.04	1068.18
5550	1225.52	2119.59	1803.9	1016.5	1032.94	1362.65	1192.02	810.74	987.89	1161.31	1123.71	536.52	957.15	1456.45	1191.01	1321.97	1182.66	1650.85	1346.6	1037.52
5650	1293.66	2194.87	1798.48	1023.55	1089.25	1418.43	1205.14	828.06	985.03	1202.55	1133.43	543.93	1034.63	1513.34	1251.75	1341.38	1241.4	1646.94	1340.97	1039.69
5750	1233.77	2019.08	1717.06	993.42	1020.29	1371.75	1123.67	763.02	1019.99	1099.04	1129.77	522.55	991.71	1455.24	1244.43	1310.06	1199.35	1537.25	1322.01	962.24
5850	1275.65	2051.99	1754.35	1030.53	1036.04	1420.79	1158.73	797.49	1018.24	1107.18	1085.11	498.75	1052.01	1383.2	1181.59	1326.71	1195.67	1553.5	1348.17	980.32
5950	1325.42	2119.69	1798.16	1004.9	1053.74	1485.79	1164.03	815.11	1039.01	1154.6	1089.09	540.75	1064.42	1374.89	1172.43	1363.01	1248.17	1590.01	1305.69	998.49
6050	1310.83	2185.32	1807.68	1068.09	1099.76	1508.3	1239.38	903.58	1081.23	1192.52	1149.12	619.08	1065.86	1396.13	1280.56	1361.24	1251.62	1612.48	1389.12	1013.27
6150	1389.97	2282.22	1924.63	1138.47	1235.41	1541.63	1311.96	895.91	1186.81	1267.95	1166.27	610.58	1169.78	1511.9	1321.63	1473.55	1339.9	1706.01	1488.05	1040.47
6250	1415.97	2190.08	1853.86	1139.68	1246.46	1464.24	1322.16	799.85	1164.81	1280.84	1125.26	610.68	1203.07	1437.5	1211.12	1477.11	1317	1648.2	1401.66	1039.48
6350	1509.94	2161.31	1799.45	1157.58	1200.25	1404.57	1375.2	859.57	1173.18	1281.15	1093.88	646.47	1157.67	1501.38	1178.11	1491.58	1316.19	1619.16	1372.31	1109.74
6450	1456.45	2023.01	1779.51	1163.17	1198.55	1301.91	1318.92	770.87	1118.41	1256.71	977.08	660.36	1144.02	1433.6	1051.29	1478.96	1308.15	1527.17	1342.18	1093.47
6550	1385.61	1955.86	1712.24	1132.33	1127.45	1264.16	1287.68	761.92	1099.22	1185.08	885.18	610.56	1138.55	1303.25	955.93	1458.67	1299.78	1447.47	1338.8	1057.95
6650	1258.27	1942.28	1624.22	1130.82	1125.65	1240.67	1241.48	753.71	1123.13	1203.32	870.66	556.42	1114.13	1325.03	950.98	1437.94	1249.23	1463.17	1279.72	1060.01
6750	1273.06	1957.36	1552.55	1141.42	1145.72	1290.18	1204.18	700.63	1098.67	1246.1	822.21	535.85	1124.8	1350.45	972.04	1459.06	1290.14	1408.85	1223.12	1056.11
6850	1262.16	1833.6	1529.03	1087.25	1108.55	1192.39	1167.61	672.38	1053.18	1208.29	816.07	509.11	1090.07	1237.94	953.44	1403.58	1248.43	1327.88	1212.91	1057.07
6950	1197.65	1777.13	1536.14	999.43	1051.45	1108.32	1125.26	583.77	1020.5	1192.5	786.06	495.64	1054.45	1204.01	910.38	1316.73	1217.26	1290.45	1206.57	1025.34
7050	1251.08	1829.57	1527.49	999.95	1102.23	1135.97	1136.61	584.14	1090.32	1251.5	773.32	489.46	1118.68	1249.28	895.99	1322.06	1223.79	1377.19	1218.37	1063.35
7150	1264.55	1879.88	1617.4	1035.4	1129.55	1174.14	1157.21	586.63	1113.43	1198.87	770.84	490.51	1108.06	1163.93	881.79	1293.72	1291.05	1443.57	1180.98	1123.49
7250	1251.47	1909.45	1540.5	1032.1	1123.05	1148.3	1152.95	533.69	1103.82	1228.48	791.05	517.9	1083.35	1194.04	887.44	1359.78	1280.99	1413.09	1189	1123.52
7350	1298.33	2001.3	1579.71	1069.85	1131.63	1194.13	1173.81	559.8	1095.27	1255.56	802.12	467.98	1123.53	1193.42	893.69	1448.36	1296.7	1371.68	1127.91	1150.63
7450	1397.38	1976.98	1656.75	1118.27	1239.68	1263.96	1235.44	577.55	1138.96	1242.99	763.73	489.01	1133.85	1272.82	989.35	1529.5	1388.47	1465.61	1197.72	1211.27
7550	1361.78	1951.38	1677.85	1151.84	1210.59	1257.34	1292.24	623.76	1113.91	1257.8	794.82	505.64	1162.3	1338.36	1050.74	1497.55	1378.65	1508.22	1259.67	1211.37
7650	1437.89	1959.64	1654.83	1207.91	1208.71	1210.67	1311.42	640.15	1113.26	1311.43	847.96	547.78	1250.82	1391.33	1051.53	1483.6	1400.38	1565.9	1220.87	1175.23
7750	1443.69	1985.15	1677.5	1158.9	1219.51	1279.38	1341.67	639.26	1101.1	1353.71	895.72	674.23	1216.9	1484.87	1097.09	1492.54	1379.99	1546.28	1294.17	1157.74
7850	1493.72	2044.8	1758.36	1206.18	1281.43	1416.79	1488.87	718.88	1210.89	1400.68	937.59	845.11	1328.52	1493.08	1198.61	1505.53	1429.49	1694.79	1396.38	1192.04
7950	1430.01	1996.04	1803.86	1152.46	1255	1382.28	1435.92	756.72	1195.46	1431.92	918.88	872.28	1291.95	1493.65	1200.87	1518.74	1378.11	1710.02	1406.63	1197.41
8050	1448.53	2110.51	1902.19	1203.2	1318.53	1402.22	1429.91	821	1258.11	1512.49	973.27	921	1318.25	1514.08	1211.7	1590.41	1481.98	1713.24	1418.97	1245.7
8150	1297.7	1811.57	1725.57	1076.61	1194.47	1300.1	1247.13	727.04	1093.12	1333.29	848.59	848.73	1179	1326.51	1055.63	1414.81	1351.41	1496.37	1289.65	1088.24
8250	1298.92	1842.36	1574.08	1110.51	1175.88	1362.67	1245.87	705.81	1060.9	1288.18	835.91	771.86	1158.05	1383.59	1090.04	1372.18	1298.8	1418.75	1231.96	1101.11
8350	1100.8	1515.31	1271.45	902.65	944.17	1004.68	981.81	557.27	833.88	1028.1	661.83	568.57	948.12	1069.34	876.57	1193.23	1031.8	1149.3	960.41	886.58
8450	1205.6	1629.64	1389.62	989.88	1053.9	1102.24	1032.18	555.25	867.12	1123.25	749.55	451.08	1001.47	1127.71	862.75	1290.46	1205.72	1274.29	965.12	922.31
8550	1348.45	1885.2	1620.85	1148.89	1257.92	1304.33	1280.7	665.71	1049.23	1303.46	877.94	502.16	1173.5	1309.5	1022.54	1455.1	1372.27	1601.23	1191.33	1081.7
8650	1372.45	1923.55	1634.85	1197.36	1277.56	1284.96	1301.88	651.9	1086.12	1298.21	869.85	482.88	1184.94	1369.1	1092.05	1453.2	1350.8	1536.55	1216.15	1113.04
8750	1316.28	1947.42	1601.81	1185.21	1261.73	1308.07	1254.73	650.83	1065.2	1290.3	871.94	501.23	1206.27	1431.77	1091.44	1443.77	1331.95	1514.07	1203.99	1063.78
8850	1374.7	1964.83	1692.83	1169.6	1230.24	1243.59	1241.43	712.06	1086.47	1396.13	859.96	484.24	1160.06	1334.26	1125.51	1456.36	1325.17	1587.78	1172.72	1031.01
8950	1430.02	2040.72	1743.77	1175.85	1285.96	1237.85	1288.54	734.41	1135.77	1414.74	862.08	521.38	1199.96	1334.51	1142.04	1476.9	1368.32	1616.75	1227.36	1152.88
9050	1421.31	2044.16	1802.92	1263.97	1303.65	1296.38	1305.56	730.71	1195.87	1439.01	928.43	515.31	1249.43	1408.6	1155.34	1508.03	1448.35	1580.83	1240.26	1191.12
9150	1419.98	2051.05	1824.47	1258.2	1233.89	1311.6	1346.86	730.35	1192.49	1414.29	921.5	520.85	1259.34	1403.84	1169.47	1496.19	1439.02	1702.19	1270.56	1162.72
9250	1468.82	2078.91	1839.09	1229.58	1293.68	1323.95	1422.4	773.65	1238.26	1429.24	984.63	578.77	1358.62	1483.02	1170.99	1563.91	1478.76	1788.25	1282.95	1240.2
9350	1450.53	2142.61	1841.53	1200.27	1304.55	1369.4	1491.1	759.23	1196.73	1472.47	1014.14	558.25	1315.61	1472.35	1172.84	1522.49	1469.49	1720.66	1293.33	1250.48
9450	1543.12	2151.15	1773.28	1227.3	1367.65	1337.56	1484.41	752.54	1208.35	1504.03	994.11	567.31	1268.43	1615.64	1120.36	1499.55	1444.93	1757.62	1308.07	1293.31
9550	1542.7	2035.9	1738.87	1232.39	1273.99	1293.6	1472.36	787.92	1219.47	1449.85	993.46	567.85	1314.42	1505.8	1106.81	1521.57	1458.25	1688.87	1276.72	1232.5
9650	1419.8	1922.51	1660.68	1162.51	1226.19	1216.51	1374.12	761.44	1184.61	1407.27	891.01	566.41	1269.03	1427.75	1041.33	1451.68	1372.85	1549.55	1307.24	1196.17
9750	1460.74	1992.2	1661.74	1180.5	1231.54	1312.95	1310.8	732.41	1184.39	1311.65	874.61	602.07	1303.89	1451.45	1078.65	1464.52	1369.75	1557.49	1310.38	1158.58
9850	1499.27	2080.01	1688.5	1206.85	1279.8	1313.4	1371.11	746.61	1172.72	1418.71	953.57	635.05	1440.85	1518.91	1112.64	1532.46	1360.14	1552.32	1350.25	1217.74
9950	1505.52	2158.98	1805.83	1260.69	1352.13	1405.41	1454.43	769.25	1155.46	1524.29	1005.54	658.16	1512.85	1546.59	1154.1	1649.16	1398.27	1698.4	1432.41	1277.64
10050	1520.63	2083.74	1793.72	1228.44	1317.16	1395.96	1467.83	766.87	1174.89	1452.36	1017.46	649.38	1461.32	1485.54	1210.46	1639.76	1455.69	1818.8	1405.16	1247.33
10150	1570.93	2244.64	1832.38	1243.17	1414.99	1342.14	1461.46	769.55	1284.35	1532.79	1065.81	656.25	1517.17	1508.91	1225.27	1715.32	1583.21	1845.73	1403.21	1272.49
10250	1523.36	2276.42	1813.81	1251.37	1428.54	1415.31	1457.59	771.86	1261.71	1474.09	1057.85	615.54	1458.58	1571.71	1224.5	1664.27	1575.96	1736.09	1390.93	1283.06
10350	1444.41	2153.49	1670.97	1188.92	1347.28	1378.81	1460.77	742.32	1294.21	1390.28	1013.44	560.33	1342.87	1575.2	1187.38	1574.53	1495.2	1617.62	1315.57	1295.35
10450	1333.13	1999.42	1639.07	1131.01	1241.45	1342.04	1385.4	719.23	1204	1298.33	949.61	539.96	1253.43	1441.01	1116.89	1471.44	1397.52	1480.15	1252.69	1171.7
10550	1361.9	2004.64	1761.9	1145.67	1233.59	1293.77	1395.5	763.68	1178.96	1348.3	922.24	542.07	1278.91	1377.64	1123.49	1555.26	1418.22	1528.81	1299.32	1152.36
10650	1378.14	1959.76	1697.38	1143.62	1227.46	1212.18	1378.62	749.2	1162.84	1314.03	872.48	532.04	1219.31	1339.81	1076.53	1514.25	1411.07	1467.51	1285.69	1124.53
10750	1455.94	2052.88	1714.36	1237.49	1236.88	1321.71	1436.14	772.46	1226.67	1423.8	944.3	536.72	1276.06	1399.27	1147.68	1630.35	1516.36	1534.27	1349.36	1210.27
10850	1394.57	2062.35	1750.95	1212.01	1241.54	1286.06	1413.11	740.56	1221.32	1360.67	958.27	550.97	1345.04	1485.09	1180.03	1482.06	1436.96	1599.16	1283.5	1251.73
10950	1385.67	2071.44	1766.55	1275.06	1262.95	1371.69	1402.03	760.73	1240.25	1377.17	959.49	515.27	1343.04	1490.58	1233.85	1504.93	1377.18	1632.22	1253.05	1213.99
11050	1437.23	2025.87	1785.91	1231.04	1230.99	1388.88	1373.72	798.63	1204.93	1360.73	998.77	519.92	1275.99	1455.33	1249.24	1591.48	1365.51	1727.13	1311.01	1168.66
11150	1439.92	2025.87	1762.67	1246.26	1193.6	1353.14	1294.91	772.72	1163.76	1358.55	1053.82	544.12	1275.16	1480.96	1283.85	1614.37	1421.04	1770.08	1356.32	1205.79
11250	1472.74	2016.18	1766.87	1163.7	1170.95	1364.51	1327.41	783.46	1169.96	1358.35	1092.8	585.62	1233.66	1540.13	1289.3	1581.22	1412.86	1794.53	1458.37	1208.8
11350	1374.28	2073.65	1698.5	1169.24	1139.98	1406.04	1332.42	788.78	1175.64	1336.85	1086.23	548.13	1236.24	1579.57	1274.32	1579.22	1377.88	1727.59	1436.1	1164.02
11450	1335.65	2098.35	1750.8	1190.9	1198.11	1379.03	1343.04	840.56	1124.14	1307.99	1035.54	587.69	1207.66	1525.32	1235.74	1588.35	1386.16	1653.66	1445.5	1130.61
11550	1364.89	2124.91	1819.84	1153.22	1225.43	1356.49	1396.72	862.95	1119.02	1319.2	1098.16	591.44	1200.25	1527.36	1296.69	1563.07	1374.1	1666.89	1449.59	1112.71
11650	1461.32	2224.5	1886.14	1210.41	1269.91	1414.98	1384.03	919.43	1231.86	1364.8	1131.41	608.19	1249.84	1575.8	1393.13	1551.34	1424.72	1769.74	1501.08	1111.86
11750	1583.71	2293.25	1852.37	1209.72	1290	1505.72	1389	958.39	1251	1407.23	1152.35	657.7	1280.31	1597.97	1369.3	1594.3	1467.8	1761.74	1485.35	1151.43
11850	1517.44	2270.76	1816.86	1246.86	1302.63	1556.01	1467.92	918.94	1175.05	1383.54	1222.74	656.75	1284.21	1609.86	1380.44	1578.87	1418.03	1767.06	1446.45	1164.28
11950	1465.1	2239.35	1903.58	1278.91	1313.16	1541.3	1482.5	904.89	1193.65	1422.51	1190.77	617	1324.14	1532.23	1391.93	1574.59	1413.11	1810.2	1518.66	1208.29
12050	1477.74	2187.39	1957.21	1248.96	1303.66	1530.62	1410.85	891.94	1191.49	1478.21	1149.73	626.13	1304.94	1476.04	1350.23	1576.3	1414.64	1863.1	1542	1124.42
12150	1458.55	2227.83	1952.55	1238.93	1292.76	1512.21	1362.82	950.72	1282.46	1442.4	1174.17	692.64	1310.01	1542.89	1397.59	1524.1	1409.47	1885.21	1540.04	1130.79
12250	1442.14	2257.54	1993.82	1268.47	1294.85	1513.19	1371.42	955.07	1207.6	1478.04	1198.65	686.87	1332.1	1636.11	1461.23	1538.57	1448.53	1959.63	1586.24	1230.56
12350	1401.8	2303.54	1980	1231.54	1255.51	1485.01	1392.02	968.33	1225.74	1414.95	1286.94	687.38	1261.05	1672.29	1490.47	1518.58	1436.6	1996.52	1582.9	1196.75
12450	1460.94	2313.18	1944.07	1180.63	1221.53	1529.67	1469.17	964.52	1250.28	1462.91	1228.45	737.12	1250.51	1618.06	1523.7	1588.65	1401.39	1950.34	1608.46	1197.88
12550	1514.53	2350.95	1976.96	1196.11	1244.13	1520.43	1430.32	960.14	1224.44	1513.92	1263.83	724.64	1308.84	1592.39	1567.24	1582.36	1420.19	1857.14	1603.89	1215.85
12650	1517.63	2465.17	1932.93	1218.81	1353.05	1586.9	1419.41	984.18	1194.24	1552.88	1281.11	681.26	1273.26	1624.87	1545.45	1600.7	1423.33	1860.8	1612.72	1214.94
12750	1501.32	2427.42	1970.85	1217.68	1241.58	1551.29	1324.58	985.62	1228.12	1567.44	1268.67	730.12	1259.53	1576.54	1515.41	1544.82	1451.57	1941.64	1583.78	1153.56
12850	1521.62	2375.2	1943.95	1225.94	1208.89	1579.56	1343.72	1033.72	1226.77	1530.43	1287.52	767.29	1295.17	1651.85	1435.21	1593.38	1424.54	1970.31	1583.29	1216.21
12950	1597.35	2433.87	2040.49	1302.46	1289.99	1714.62	1406.53	1082.68	1289.19	1530.82	1327.3	752.85	1287.7	1677.8	1534.22	1683.07	1485.8	2041.56	1597.34	1258.58
13050	1678.1	2599.8	2045.47	1312.14	1388.27	1696.05	1535.99	1092.57	1288.49	1501.41	1424.72	770.3	1348.26	1655.42	1612.6	1741.11	1546.46	2126.41	1705.39	1257.66
13150	1562.23	2583.41	2104.38	1331.88	1378.12	1666.48	1529.92	1110.6	1341.29	1563.48	1469.43	790.82	1413.31	1728.28	1620.07	1748.33	1507.5	2172.71	1770.24	1240.44
13250	1554.68	2469.76	2092.71	1299.43	1293.49	1688.47	1469.98	1119.43	1340.66	1532.17	1408.55	841.04	1350.99	1798.95	1568.45	1749.43	1487.61	2058.79	1752.18	1231.52
13350	1558.47	2554.11	2078.17	1279.56	1318.86	1692.49	1480.77	1094.9	1313.82	1484.24	1392.25	786.03	1305.8	1877.15	1591.21	1658.51	1447.93	2099.79	1751.57	1260.02
