Position	C10_Mut_Control_3	C11_WT_Cipro_3	C12_Mut_Cipro_3	C17_WT_Control_4	C18_Mut_Control_4	C19_WT_Cipro_4	C01_WT_Control_1	C20_Mut_Cipro_4	C21_WT_Control_5	C22_Mut_Control_5	C23_WT_Cipro_5	C24_Mut_Cipro_5	C02_Mut_Control_1	C03_WT_Cipro_1	C04_Mut_Cipro_1	C05_WT_Control_2	C06_Mut_Control_2	C07_WT_Cipro_2	C08_Mut_Cipro_2	C09_WT_Control_3
3350	16473.69	19520.09	23716.99	19754.23	20448.16	23739.71	18887.04	35909.22	15763.29	16768.06	17355.23	19848.77	17254.03	18247.11	28434.75	20004.31	20296.22	22161.11	23504.71	13989.11
3450	15730.35	18851.96	22933.73	19096.75	19745.07	22904.61	17997.89	34768.5	15088.63	16157.71	16812.31	19593.88	16563.08	17468.16	27885.38	19187.64	19536.01	21467.92	23051.65	13580.94
3550	15621.35	18922.83	22596.92	18980.21	19484.92	22883.7	17747.25	35122.98	14588.98	15843.69	16955.31	19724.24	16254.9	17169.63	27697.07	18834.07	19108.31	21391.38	22850.98	13451.21
3650	15613.32	18842.78	22103.5	18328.13	18841.3	23058.36	17266.56	34900.27	14313.42	15375.41	16668.27	19488.79	15813.83	17070.25	27179.23	18273.37	18608.35	20856.55	22524.42	13204.74
3750	16081.74	19223.58	22596.2	18636.75	19130.74	23526.06	17867.04	35717.36	14787.24	15690.81	17092.88	19534.73	16367.11	17271.12	27977.12	18758.02	18922.94	21291.77	23009.23	13653.76
3850	16181	19381.8	22771.66	18644.93	18911.04	22936.87	17952.17	36207.06	14801.29	15540.3	17340.45	20160.21	16279.48	17313.51	28089.25	18992.07	19005.42	21417.22	23100.69	13614.93
3950	17075.53	20349.82	24781.07	19445.27	19845.94	24090.13	18713.28	39038.26	15572.95	16437.62	18550.06	21848.38	17365.09	18393.83	30338.94	20286.04	20432.98	23586.75	25126.66	14478.52
4050	17630.1	20412.01	25411.26	19549.46	19854.74	24467.98	19198.25	40113.02	15706.57	16347.98	18805.96	22479.43	18132.74	18620.14	31015.07	20637.02	20808.67	24181.21	26092.17	14817.76
4150	17204.91	20190.91	24940.97	19313.5	19598.79	24029.61	19100.55	40260.02	15263.59	16008.06	18569.32	22722.19	18223.45	18589.72	30801.2	20505.84	20431.77	24015.02	26109.59	14780.05
4250	16363.34	19363.89	24117.8	18504.52	18730.33	22754.4	18043.84	39377.39	14579.99	15722.89	18007.12	22371.41	17128.75	17519.27	29484.09	19793.39	19740.81	23431.01	25281.08	14105.51
4350	15959.47	18714.56	23610.22	17773.07	18007.3	21428.94	17313.89	38169.87	13973.46	15215.68	17293.29	21444.14	15729.64	16354.24	27793.23	18533.62	18867.69	22252.59	24438.21	13392.39
4450	16167.63	18920.95	23469.79	17593.38	17827.21	21536.16	16876.39	38326.64	13808.28	15042.41	16997.28	21091.41	15373.54	16086.96	27727.12	17896.43	18457.13	21987.58	24338.54	13475.73
4550	15501.95	18738.23	21632.61	16801.54	17051.75	21184.58	14797.16	36032.61	13049.91	14511.29	16968.11	20527.76	14811.33	15929.45	26212.39	16486.06	17053.88	21255.81	23596	13229.99
4650	12879.44	16488.2	17013.38	14072.81	14168.57	17477.13	10507.9	28739.61	10496.73	11885.9	14511.61	16800.55	12575.22	13629.26	20035.26	12726.14	13537.77	17364.35	19394.89	11410.43
4750	10355.26	14621.71	13901.91	11654.24	11727.7	14899.85	6145.74	22773.04	8864.31	9773.37	12548.05	14363.55	10737.26	11770.65	16333.76	10258.94	11164.67	14582.39	16259.65	9867.25
4850	11841.67	16524.24	16874.16	13733.99	13735.68	17494.37	9390.73	26867.89	10280.55	11213.15	14332.82	16930.2	12556.89	13675.29	19672.76	12400.87	13372.08	16971.11	19364.56	11145.05
4950	13878.49	18351.33	20781.08	15992.33	16122.96	20000.98	12841.6	33125.42	12239.36	13343.93	16342.75	20506.3	14445.4	15524.24	24692.11	15418.11	16201.53	20178.94	23315.54	12433.72
5050	15456.51	20300.78	23973.36	18152.19	18573.48	22721.03	15862.41	39670.33	14321.89	15283.26	18236.68	23180.32	16542.43	17805.09	30221.82	18371.85	18919	22974.28	26448.13	13763.07
5150	15719.75	20063.91	25094.65	18203.76	18574.32	22945.13	17288.94	41194.69	14685.07	15706.02	18596.72	24142.19	16753.1	17937.4	31816.19	18812.95	19487.31	23857.36	26802.51	13634.69
5250	16933.9	21383.24	26132.34	19585.43	19923.57	25048.48	18626.46	44380.82	15619.4	16763.35	19820.4	25990.24	17701.27	19314.12	33912.93	19979.55	20831.52	25295.51	28125.48	14479.35
5350	17660.68	22156.08	27262.85	19942.55	20819.44	26175.24	19417.86	46135.8	16246.37	17401.55	20819.43	26869.85	18140.08	20056.49	35286.08	20707.37	21497.26	26562.63	29300.68	15187.71
5450	19560.54	23942.5	29755.11	21918.95	22471.29	28813.82	21647.81	50565.87	17603.04	19021.17	22827.17	29069.45	19372.06	21757.94	38306.96	22778.3	23408.56	29260.03	31943.44	16681.21
5550	19625.35	23865.04	29863.47	21952.95	22539.54	28907.5	21498.82	50585.39	17440.51	18968.31	22933.14	29108.64	19402.89	21597.02	38018.13	22754.64	23568.14	29377.62	32006.03	16664.39
5650	18264.54	22379.58	27772.22	20585.6	20770.24	26895.17	19980.64	47532.83	16305.82	17465.29	21369.57	27310.27	18252.62	20252.18	35798.36	21485.43	21717.3	27388.12	29953.04	15613.46
5750	18281.54	22384.06	27417.7	20531.68	20528.37	26861.97	19728.92	46484.23	16076.67	17095.72	21012.39	26600.51	18144.49	20233.02	35448.7	20941.98	21271.76	26492.61	29358.59	15672.1
5850	17542.97	21221.05	26832.52	19381.69	19784.74	25638.79	18945.03	44242.57	15393.97	16443.84	20335.98	25781.65	17176.14	19358.09	34330.57	20232.41	20528.24	25447.78	28131.21	14759.22
5950	17034.14	21082.8	26523.68	19336.31	19752.85	25398.61	18931.15	44059.4	15430.88	16488.5	19801.8	25189.8	17030.53	19121.71	33641.1	20469.38	20460.56	25145.12	27845.28	14523.84
6050	16376.27	20369.08	25765.01	18555.54	19134.52	24278.04	18301.86	42473.86	15102.39	16086.45	18988.51	24467.57	16635.98	18420.68	32009.6	19769.59	19806.82	24227.81	26818.56	14024.27
6150	16633.54	20228.92	25331.11	18720.71	19260.48	24845.79	18457.71	42574.92	14905.13	16253.53	19315.11	23917.86	16904.24	18509.4	32351.5	19889.94	19738.98	23888.68	26531.41	14324.88
6250	15618.79	19037.45	23335.35	17697.8	17925.42	23628.72	17137.91	40260.52	14213.92	15238.42	18159.59	22306.16	16266.89	17748.24	30733.21	18777.64	18422.25	22147.02	24986.89	13396.92
6350	15332.69	18894.98	22640.41	17130.47	17334.25	23145.44	16796.12	39515.84	14110.8	14711.05	17658.77	21662.08	16168.83	17802.86	30003.57	18127.55	18050.89	21686.52	24306.33	13106.63
6450	16375.5	20197.62	24006.21	18320.7	18513.66	24827.74	17720.64	41992.86	15015.39	15513.82	18815.24	23126.7	17276.5	19253.86	31608.9	19358.99	19061.65	23072.72	26052.76	14075.92
6550	16725.86	20312.84	25104.46	18911.03	18941.1	24858.67	17894.38	42321.83	15151.93	15875.88	19039.87	24272.36	17504.33	19335.87	32242.94	19673.9	19699.62	24074.47	26524.8	14158.78
6650	17582.86	20987.11	26292.17	19856.12	20355.52	25403.19	19251.43	44295.89	15699.35	16874.64	19588.91	25303.37	17517.32	19327.46	33452.25	20307.5	20835.82	24919.14	27748.42	14866.41
6750	17256.38	20937.5	26038	19433.79	19880.23	25120.8	18779.72	43804.35	15461.71	17067.64	19908.01	25046.35	17070.01	18885.02	33335.81	19884.82	20678.73	24874.16	27956.99	14762.35
6850	17693.9	21948.03	25885.1	19861.66	20309.42	26218.65	18562.66	44042.32	15831.87	17273.46	20775.3	25392.73	17963.63	19568.12	33750.25	20028.96	20742.92	25573.43	28394.36	15486.95
6950	17337.97	22024.45	25908.09	19544.79	20016.2	25623.3	18343.05	43024.61	15415.11	17107.66	20501.75	25350.52	17681.84	19698.87	32787.49	19543.18	20381.03	25359.1	28036.08	15087.2
7050	17064.06	21514.2	25972.22	19037.46	19570.59	25288.33	18188.95	42884.41	15108.72	16772.7	20398.81	25646.24	17135.02	19282.36	33086.11	19588.27	20456.78	25010.67	27856.51	14778.99
7150	16864.79	21219.02	26407.67	19240.33	19585.98	25234.04	18277.05	43600.77	15256.09	16921.72	20287.01	26109.47	17145.19	19221.77	33907.14	19801.19	20696.07	25571.41	28003.35	14658.57
7250	17343.09	21674.3	27251.82	19644.97	19990.65	25545.93	18915.35	44782.67	15643.34	17148.42	20591.91	26464.62	17601.3	19621.56	34806.52	20562.86	21138.39	26068.14	28879.38	14795.42
7350	17460.28	21904.15	27224.29	19685.14	20306.13	25856.12	19273.18	45204.94	15697.67	17235.81	20918.06	26299.54	18146.81	19531.13	35007.68	21017.57	21252.18	26100.53	29020.65	15028.43
7450	17121	21121.48	26247.31	19486.91	20013.73	25259.46	18828.27	44301.55	15244.55	16948.27	20328.85	25421.6	17767.26	18914.59	33801.62	20725.21	21033.3	25359.86	28196.31	14725.81
7550	16732.66	20474.33	25221.51	18934.83	19517.57	24348.95	18298.17	42479.45	14710.27	16459.41	19637.58	24884.85	17606.61	18336.99	32806.62	20024.04	20316.27	24304.09	27459.08	14387.95
7650	16292.59	19651.23	24137.72	18505.83	19040.67	23808.83	17684.87	41689.59	14176.89	15941.53	18761.44	23914.24	17257.52	17384.25	31478.68	19589.73	19656.98	23140.67	26436.07	14155.08
7750	14856.83	18284.71	23012.96	16641.71	17442.26	20923.55	15441.71	37524.01	13283.34	14566.31	16988.02	21734.29	15221.64	15502.78	28209.26	17595.61	17982.33	21584.22	24320.01	12723.29
7850	13377.46	17389.09	21622.99	15298.38	15841.89	19031.51	13203.72	34202.56	12404.87	13659.01	14996.54	19997.9	13394.4	13895.38	24842.09	15997.2	16290.64	20161.18	22440.52	11609.71
7950	9820.27	14390.61	16103.77	10767.16	11392.8	14242.75	8750.12	24298.53	9196.11	10322.2	11204.89	15499.46	9656.21	10494.29	17546.69	11328.63	11330.77	15274.97	17259.12	9083.55
8050	5060.11	10742.5	9423.23	5034	5876.53	8536.49	3203.81	12865.91	5387.67	6244.06	7043.58	10534.5	5282.29	6538.85	9584.51	5881.91	5273.82	9904.9	11319.61	5797.7
8150	3482.24	8564.22	7069.68	2218.09	2500.05	3568.71	1731.86	5937.14	2860.34	4339.02	4131.91	8057.68	2248.67	3028.42	3450.29	2117.28	2306.97	7937.39	9075.13	3920.62
8250	6614.62	10427.47	10559.67	5293.26	5164.05	5766.05	5462.18	10171.11	4471.48	6165.12	6006.43	10176.22	4533.84	4716.59	6779.46	4592.6	5444.91	10523.22	12147.05	5792.02
8350	11667.68	15340.59	18360.56	11708.06	11698.38	13491.99	11496.84	22725.71	9256.9	11141.11	11733.26	16700.52	9902.41	10506.06	16995.02	11575.64	12812.6	17232.44	19064.15	9772.49
8450	14501.7	17505.18	22811.45	15751.13	15846.14	17550.83	15635.63	30418.05	12012.63	13671.98	14862.81	19214.16	13169.99	13507.89	23028.3	15938.33	17150.58	20636.88	22234.03	11617.99
8550	15867.62	18870.25	24193.85	18133.31	18754.79	20674.72	17799.75	34120.56	13936.6	15150.86	16641.06	20583.17	15671.55	16027.08	26928.57	18333.74	19454.96	22257.32	23670.96	13050.59
8650	16067.21	19432.98	23891.02	18778.53	19924.63	22321.64	18070.49	35024.52	14756.58	15835.36	17359.89	20393.3	16801.65	17232.98	27850.02	19417.89	19844.95	22187.97	23561.53	13747.48
8750	16466.36	19838.65	23551.63	19275.44	20240.35	22746.4	18495.58	35489.9	15264.36	16356.54	17503.93	19629.94	17494.12	17911.55	28458.73	20184.44	20170.2	22261.98	23624.55	14157.24
8850	17745.07	20893.34	24051.53	20009.07	20704.69	23855.45	19530.39	36251.72	16180.58	17386.17	18149.06	19596.8	18161.15	19024.64	28982.47	21411.61	21587.74	23034.6	24214.82	15180.17
8950	18683.08	21003.29	24357.19	20569.45	21510.76	24674.67	20378.84	36284.26	16734.11	18313.34	18230	19736.88	18288.25	19347.1	28488.17	22016.63	22268.07	23331.08	24275.94	16016.01
9050	18735.47	20891.82	24959.51	20784.13	21379.84	24255.92	20628.37	35741.7	16706.65	18433.22	18231.39	20150.45	18281.03	18797.44	28051.89	21969.82	22316.19	23821.73	24303.12	15854.32
9150	19077.45	21353.66	25474.61	21355.06	21706.52	24175.53	21108.63	35775.16	17002.39	18335.53	18595.56	20698.68	18468.82	19187.3	27691.6	22314.66	23027.33	24405.91	24752.37	16026.19
9250	18363.92	20748.92	24522.36	20614.78	21152.45	23367.19	20012.64	34334.88	16144.81	17608.26	17872.94	20203.95	18013.6	18660.66	26624.16	21603.02	22301.65	23819.44	23682.11	15412.35
9350	17829.07	19946.64	23124.52	19920.91	20466.34	22424.01	18936.39	32188.52	15334.77	16908.46	17206.92	18966.17	17391.08	17928.18	24229.67	20493.17	21317.86	22425.33	22574.54	14632.93
9450	17047.31	19500.37	22116.73	19040.04	19496.57	21438.93	18099.12	30637.57	14926.37	16270.54	16507.28	17954.45	16793.09	17285.02	23028.53	19656.43	20375.79	21435.35	21271.69	14315.15
9550	15914.55	18525.78	20408.46	17790.03	17990.75	19932.36	16868.21	28245.99	14168.58	15121.84	15169.62	16403.42	15996.83	16182.21	22332.71	18499.89	18776.48	19597.28	19701.8	13366.88
9650	14949.4	17936.23	18617.37	17064.19	17245.31	19364.59	15184.58	26057.47	13184.26	14459.66	14309.12	14905.31	15331.85	15549.95	20478.74	17244.06	17507.73	18126.21	18452.63	13004.9
9750	13411.63	16849.08	17093.96	15511.81	16059.22	17821.53	11856.96	23061.88	11902.7	13083.99	13353.84	13459.74	14307.55	14543.78	18643.85	15622.38	16015.52	16940.3	16877.95	11994.44
9850	14707.67	18137.33	18997.94	16940.1	17643.81	19316.64	13437.25	24850.43	13233.16	14313.24	14543.12	14803.33	15508.12	15695.11	20302.2	17051.04	17723.08	18336.22	18554.93	12971.88
9950	16394.57	19091.13	20978.58	18319.12	19176.24	21008.06	16231.2	28109.71	14553.29	15788.43	15271.03	16231.6	16269.9	16678.92	22341.87	18850.93	19327.86	19862.06	20043.31	13865.31
10050	17342.18	19611.22	22733.16	19645.88	20647.42	21781.77	18773.94	30155.26	15442.11	16991.32	16008.59	17182.44	17034.58	17320.19	23847.76	20483.29	21222.16	21149.91	21111.84	14509.1
10150	17735.56	19404.53	23214.1	20097.53	20876.61	21930.08	19443.58	30419.98	15781.71	17183.42	16246.02	17353.85	17167.06	17142.49	24056.74	20903.6	21577.3	21217.62	21141.73	14725.67
10250	17907.24	19836.25	23311.04	20541.5	21122.34	22541.3	19796.42	30482.4	16070.27	17423.61	16427.27	17528.46	17242.8	17587.48	24061.32	21460.32	21621.8	21621.6	21263.59	15253.76
10350	18006.3	19985.08	23063.65	20318.67	21305.02	22929.31	19800.77	29750.17	16112.09	17735.2	16227.01	17622.43	17133.81	17902.99	23973.83	21771.11	21752.52	21582.23	21062.68	15533.23
10450	18361.11	20332.88	23110.08	20658.78	21443.82	23086.57	19743.17	29550.81	16513.1	17983.48	16235.9	17760.79	17583.53	18120.99	23865.47	22213.4	22448.13	21911.03	21326.58	15528.83
10550	19426.19	21416.61	24099.61	22161.7	22578.01	23910.11	20756.29	30660.86	17776.93	19071.18	16979.46	18352.97	18656.22	19088.34	24891.02	23188.48	23826.6	22889.11	22116.58	16434.68
10650	20196.96	21944.36	25241.43	22862.44	23194.75	24121.46	21668.19	31353.79	18230.66	19953.24	17365.58	19195.36	19168.88	19409.6	25649.81	24028.7	24525.83	24082.25	22886.82	17094.46
10750	20194.67	21846.9	24892.45	23243.67	23790.41	24466.08	21998.49	31334.01	18353.91	20068.49	17506.99	18882.33	19239.16	19443.7	25289.54	24307.43	24578.7	23866.72	22670.17	17335.21
10850	19019.09	20656.11	23391.86	21917.13	22653.68	23334.02	20493.32	29286.24	17332.46	18980.81	16524.9	17963.7	18228.23	18703.01	23425.24	22989.68	23144.85	22488.66	21123.37	16311.97
10950	18500.57	20411.75	22627.25	21091.43	21641.16	22693.02	19816.48	28120.1	16762.87	18240.59	15976.66	17299.72	17755.47	18095.85	22694.02	22089.65	22210.29	21772.45	20502.83	15981.42
11050	17516.19	19180.37	21505.95	19991.65	20310.15	21478.13	18928.36	26188.67	15850.37	17080.01	15001.41	16156.25	16802.73	17142.4	21439.26	20958.66	21223.73	20438.29	19350.39	14937.61
11150	17566.06	19143.96	21924.14	20331.75	21073.44	21814.05	19107.02	26457.8	15911.07	17394.65	14981.09	15995.9	17194.01	17302.49	21488.59	21119.72	21478.19	20676.06	19512.81	14993.91
11250	17039.85	18806.07	21270.14	19804.44	20584.4	21172.68	18730.01	25913.94	15493.44	17141.96	14707.38	15412.53	16902.67	16759.98	21201.77	20583.61	21022.39	20003.95	19068.16	14831.5
11350	17799.95	19424.86	21352.55	20516.77	21082.22	21593.94	19289.37	26402.95	16157.64	17783.21	15250.01	15620.27	17471.44	17268.85	22112.18	21242.09	21422.02	20429.45	19665.02	15382.16
11450	18028.54	19977.05	21378.99	20618.05	20982.37	21442.16	19697.33	26896.2	16326.6	17851.12	15183.46	15339.52	17602.08	17305.77	21796.79	21640.6	21748.98	20467.24	19711.5	15432.63
11550	18719.64	20045.95	21952.73	20762.92	21398.95	22016.14	20139.76	27284.13	16604.13	17751.21	14969.95	15266.77	17558.13	17655.74	21877.6	22166.51	22125.03	20981.87	19765.67	15718.32
11650	19467.51	20622.73	22424.9	21825.74	22225.45	22674.28	21110.27	27681.49	17245.74	18209.78	15080.69	15147.5	18501.43	18121.06	22081.29	22892.71	22826.01	21443.78	19982.81	16311.24
11750	18403.43	19702.6	21428.45	20737.88	21368.65	21682.37	20093.49	26884.38	16550.47	17383.84	14552.21	14562.23	18080.98	17597.41	20943.31	21949.5	22389.15	20835.31	19163.08	15606.09
11850	18631.78	19799.53	21366.65	21102.49	22178.73	22348.37	19864.31	27356.47	16674.23	17734.6	14414.41	13977.55	18693.72	17632.39	20535.92	22203.45	22620.33	20536.74	19039.83	15786.23
11950	17001.66	18484.1	20093.55	19089.76	20349.61	20900.24	18616.64	25726.83	15550.35	16603.99	13989.78	13486.12	17551.4	16467.46	19770.52	20840.2	21094.76	19242.05	18393.37	14922.99
12050	17244.9	19326.99	20420.46	19865.86	20606.06	21453.65	18955.23	26192.53	16068.42	16790.15	14515.93	14091.07	18082.91	17082.51	20622.16	21121.18	21150.65	19865.73	18946.24	15338.71
12150	15932.46	18540.07	19515.47	18447.83	18844.07	19931.05	17565.17	24626.08	14680.71	15491.45	14229.64	13929.79	16774.93	16251.93	20161	19628.8	19507.43	19003.55	17953.79	14144.16
12250	16585.26	19054.35	20121.98	19375.52	19718.66	20906.05	18158.66	25453.27	15221.6	16175.25	14699.39	14370.37	17279.33	16785.73	21215.79	20172.34	20039.58	19728.45	18825.27	14675.48
12350	16906.62	19103.67	20306.97	19246.49	19485.44	20474.22	18375.04	25517.34	15408.26	16299.62	15071.83	14794.54	16829.33	16655	21474.33	19888.81	20153.15	19819.28	18907.99	14719.12
12450	17823.03	19754.32	20959.56	20300.86	20355.47	21159.76	19276.79	26590.57	15837.4	17049.21	15604.26	15425.37	17266.43	16991.8	22188.46	20339.03	20603.02	20265.12	19408.62	15086.61
12550	17585.49	19299.03	20644.39	19905.72	20031.48	20368.76	18945.77	26247.07	15384.5	16880.67	15385.55	15210.96	16959.75	16343.35	21482.72	20131.17	20501.91	19976.41	19018.59	14511.4
12650	17056.04	18763.89	20410.05	19553.93	19739.25	20194.41	18881.46	25822.61	15094.09	16656.05	15065.36	15385.85	16763.67	16268.72	21313.51	20018.34	20357.64	19769.55	19056.2	14179.69
12750	17619.05	19518.42	20700.69	19700.8	20107.7	21078.16	18997.35	26249.75	15353.66	16752.77	15621.75	15858.67	17180.06	17046.22	22146.97	20204.46	20670.18	20230.09	19738.95	14843.02
12850	17039.9	19319.18	20163.5	18979.11	19185.97	20394.64	17963.46	25115.06	14534.75	15922.94	15119.52	15200.16	16867.73	16494.45	20846.91	19227.82	19988.8	19721.63	18968.63	14476.13
12950	16500.27	18825.22	20045.81	18648.94	19090.05	20453.98	17469.17	24999.36	14465.92	15640.83	14670.95	15082.98	16775.1	16381.42	20535.2	18889.61	19720.95	19514.09	18893.17	14361.88
13050	16581.82	18798.16	20558.36	18735.68	19339.83	20746.36	17621.98	25627.01	14743.19	15798.38	15036.69	15918.81	16931.81	16828.68	21672.98	19382.38	20008.38	20014.47	19425.62	14682.61
